epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,876.1,0.65865,0.79449,0.59853,0.89958,0,0.90535,0.97945,0.9614,0.78763,0.90535,0.97945,0.9614,0.73657,0.67461,0.77447,0.59821,0.89568,0,0.000956145,0.000956145,0.000956145
29,907.248,0.63455,0.76324,0.55898,0.89108,0,0.89919,0.97749,0.95954,0.78552,0.89919,0.97749,0.95954,0.72675,0.65646,0.77515,0.60419,0.89746,0,0.000952889,0.000952889,0.000952889
30,938.414,0.65146,0.80555,0.55987,0.90394,0,0.94386,0.92121,0.95751,0.78225,0.93685,0.91455,0.94161,0.73305,0.66287,0.78764,0.60896,0.89497,0,0.000949524,0.000949524,0.000949524
31,969.591,0.65105,0.81318,0.57381,0.88231,0,0.88234,0.97595,0.96111,0.78696,0.8762,0.96958,0.94192,0.75248,0.66432,0.77965,0.63625,0.89178,0,0.000946048,0.000946048,0.000946048
32,1002.11,0.66193,0.8073,0.57104,0.91184,0,0.90571,0.9726,0.96486,0.76728,0.89914,0.96575,0.94455,0.75457,0.71048,0.78506,0.65518,0.89276,0,0.000942464,0.000942464,0.000942464
33,1033.83,0.62037,0.729,0.58803,0.90641,0,0.90633,0.96575,0.96367,0.77902,0.89974,0.9589,0.94691,0.7543,0.67824,0.78075,0.63694,0.88696,0,0.000938772,0.000938772,0.000938772
34,1065.07,0.64528,0.73764,0.54948,0.90698,0,0.90404,0.96797,0.96122,0.77964,0.89765,0.96112,0.94403,0.73484,0.64097,0.77374,0.58944,0.88142,0,0.000934973,0.000934973,0.000934973
35,1097.14,0.6379,0.77366,0.53421,0.89903,0,0.90406,0.96817,0.96455,0.78217,0.89767,0.96133,0.94726,0.73646,0.63888,0.77061,0.56232,0.88414,0,0.000931067,0.000931067,0.000931067
36,1125.64,0.70155,0.87455,0.60034,0.92244,0,0.90366,0.96367,0.97057,0.78844,0.90366,0.96367,0.97057,0.74274,0.66042,0.7896,0.5494,0.88416,0,0.000927057,0.000927057,0.000927057
37,1150.8,0.64793,0.77076,0.56299,0.88964,0,0.93347,0.95205,0.97194,0.79697,0.93347,0.95205,0.97194,0.71512,0.63854,0.84116,0.55597,0.88239,0,0.000922942,0.000922942,0.000922942
38,1176.92,0.64573,0.7779,0.56251,0.89949,0,0.91984,0.96575,0.96958,0.798,0.91307,0.9589,0.95916,0.70815,0.64406,0.88238,0.55711,0.88602,0,0.000918725,0.000918725,0.000918725
39,1203.24,0.63629,0.81447,0.56329,0.89843,0,0.91507,0.95942,0.96961,0.79445,0.90854,0.95257,0.95809,0.71924,0.65626,0.82779,0.53435,0.88902,0,0.000914405,0.000914405,0.000914405
40,1232.4,0.64579,0.84871,0.53088,0.88486,0,0.92052,0.95197,0.97265,0.78775,0.91351,0.94521,0.95917,0.75003,0.65723,0.7728,0.51698,0.88903,0,0.000909984,0.000909984,0.000909984
41,1257.15,0.61428,0.76375,0.52386,0.89192,0,0.90888,0.95646,0.97348,0.79873,0.90242,0.95015,0.95807,0.73345,0.63037,0.75182,0.50837,0.87858,0,0.000905463,0.000905463,0.000905463
42,1282.13,0.62326,0.7658,0.52675,0.89015,0,0.89684,0.96575,0.97278,0.81341,0.89684,0.96575,0.97278,0.72959,0.61717,0.73369,0.50899,0.87705,0,0.000900844,0.000900844,0.000900844
43,1307.97,0.6239,0.70453,0.51956,0.88969,0,0.91045,0.96575,0.96942,0.79569,0.90334,0.9589,0.95538,0.73061,0.63798,0.755,0.52222,0.87876,0,0.000896127,0.000896127,0.000896127
44,1334.98,0.66372,0.78903,0.5518,0.88714,0,0.90654,0.96575,0.95585,0.7939,0.90654,0.96575,0.95585,0.72346,0.63261,0.78187,0.54364,0.88093,0,0.000891313,0.000891313,0.000891313
45,1361.38,0.60651,0.728,0.54267,0.88551,0,0.91473,0.95516,0.95145,0.78307,0.91473,0.95516,0.95139,0.72253,0.64333,0.74925,0.55642,0.88402,0,0.000886404,0.000886404,0.000886404
46,1387.17,0.62176,0.72691,0.52788,0.88471,0,0.90354,0.96234,0.9498,0.78425,0.89711,0.95549,0.93507,0.7164,0.65652,0.73232,0.56832,0.88608,0,0.000881401,0.000881401,0.000881401
47,1413.6,0.6161,0.72753,0.50298,0.87671,0,0.89833,0.96829,0.94667,0.78298,0.89197,0.96144,0.92942,0.72651,0.63508,0.71836,0.57032,0.88675,0,0.000876305,0.000876305,0.000876305
48,1441.72,0.63745,0.82633,0.5081,0.88874,0,0.90653,0.94521,0.95433,0.76419,0.86162,0.98091,0.93795,0.74503,0.67688,0.73682,0.57125,0.8895,0,0.000871117,0.000871117,0.000871117
49,1468.96,0.60212,0.65866,0.49931,0.87583,0,0.91469,0.93836,0.96112,0.78688,0.87175,0.97772,0.94537,0.7381,0.65407,0.76931,0.55662,0.88453,0,0.000865839,0.000865839,0.000865839
50,1497.01,0.6143,0.73167,0.50952,0.89457,0,0.87707,0.97739,0.96603,0.78085,0.87093,0.97054,0.94884,0.72138,0.66635,0.80205,0.53914,0.88345,0,0.000860473,0.000860473,0.000860473
51,1522.45,0.63665,0.81211,0.52115,0.90173,0,0.88517,0.9863,0.9718,0.79189,0.87885,0.97945,0.95473,0.73449,0.65717,0.8063,0.51451,0.8815,0,0.000855018,0.000855018,0.000855018
52,1548.25,0.59531,0.73781,0.52299,0.87263,0,0.87284,0.99315,0.96816,0.79939,0.86682,0.9863,0.95008,0.73538,0.62762,0.77781,0.50234,0.88245,0,0.000849477,0.000849477,0.000849477
53,1573.81,0.59173,0.75774,0.49144,0.87891,0,0.88307,0.99315,0.96784,0.79903,0.87698,0.9863,0.94927,0.7347,0.62254,0.7964,0.50146,0.88315,0,0.000843851,0.000843851,0.000843851
54,1600.04,0.60534,0.76121,0.4987,0.88057,0,0.88403,0.99206,0.96325,0.79416,0.87794,0.98532,0.94384,0.73065,0.63772,0.7885,0.49946,0.8854,0,0.000838141,0.000838141,0.000838141
55,1626.2,0.57003,0.68358,0.4782,0.86363,0,0.88788,0.9863,0.95373,0.7875,0.88171,0.97945,0.93396,0.72464,0.64227,0.75036,0.49442,0.88702,0,0.000832349,0.000832349,0.000832349
56,1652.93,0.56539,0.71673,0.4853,0.86363,0,0.89762,0.96575,0.94139,0.76563,0.89125,0.9589,0.92769,0.73315,0.64711,0.75878,0.50544,0.88181,0,0.000826477,0.000826477,0.000826477
57,1679.66,0.57072,0.67579,0.47643,0.86903,0,0.90588,0.9589,0.94267,0.77408,0.90588,0.9589,0.94267,0.73438,0.63566,0.74857,0.50958,0.8819,0,0.000820525,0.000820525,0.000820525
58,1707.11,0.62083,0.80872,0.51623,0.89652,0,0.8967,0.93836,0.94089,0.77663,0.88955,0.93151,0.92603,0.72678,0.63254,0.75503,0.51323,0.88229,0,0.000814495,0.000814495,0.000814495
59,1735.5,0.57609,0.72494,0.46571,0.86777,0,0.88509,0.94962,0.93952,0.78182,0.87871,0.94277,0.924,0.71914,0.63197,0.76001,0.51911,0.88422,0,0.000808389,0.000808389,0.000808389
60,1762.11,0.56746,0.72049,0.467,0.86306,0,0.8692,0.96575,0.94696,0.79054,0.86304,0.9589,0.93116,0.72766,0.63872,0.74474,0.49783,0.89909,0,0.000802208,0.000802208,0.000802208
61,1789.45,0.56948,0.71489,0.48412,0.8666,0,0.89928,0.94521,0.9526,0.78945,0.89276,0.93836,0.93974,0.73306,0.64259,0.73439,0.49345,0.90165,0,0.000795954,0.000795954,0.000795954
62,1817.06,0.52501,0.65448,0.42857,0.85083,0,0.88219,0.97453,0.95886,0.79729,0.87602,0.96796,0.94735,0.74593,0.66132,0.72093,0.49702,0.90793,0,0.000789628,0.000789628,0.000789628
63,1846.02,0.58935,0.71747,0.48053,0.87237,0,0.88798,0.97728,0.96548,0.80259,0.88176,0.97051,0.95384,0.74894,0.64942,0.72507,0.49073,0.90721,0,0.000783231,0.000783231,0.000783231
64,1870.18,0.591,0.7392,0.46828,0.87396,0,0.89158,0.97945,0.97192,0.81147,0.88534,0.9726,0.96079,0.76115,0.65473,0.73407,0.4883,0.88664,0,0.000776766,0.000776766,0.000776766
65,1893.75,0.59074,0.71698,0.46667,0.88025,0,0.89012,0.97945,0.96996,0.79518,0.88373,0.9726,0.95834,0.76399,0.67365,0.7207,0.50098,0.88462,0,0.000770234,0.000770234,0.000770234
66,1917.55,0.59865,0.77767,0.47038,0.89016,0,0.8906,0.97945,0.97269,0.79985,0.88438,0.9726,0.96141,0.76261,0.66934,0.71641,0.49171,0.88503,0,0.000763637,0.000763637,0.000763637
67,1941.71,0.58532,0.76764,0.47384,0.88073,0,0.88853,0.9863,0.97498,0.81514,0.88228,0.97945,0.96455,0.7624,0.62788,0.71442,0.48764,0.87574,0,0.000756976,0.000756976,0.000756976
68,1965.49,0.5646,0.69003,0.46848,0.87018,0,0.87877,0.99297,0.97121,0.81685,0.87877,0.99297,0.97121,0.75642,0.62333,0.72497,0.49289,0.87635,0,0.000750252,0.000750252,0.000750252
69,1988.9,0.56053,0.70977,0.4559,0.86519,0,0.8711,0.99315,0.97113,0.81966,0.8651,0.9863,0.96071,0.75606,0.61757,0.7252,0.4926,0.87444,0,0.000743468,0.000743468,0.000743468
70,2012.7,0.55915,0.69713,0.46898,0.85671,0,0.87704,0.99315,0.9713,0.81102,0.87099,0.9863,0.95997,0.7539,0.62259,0.71592,0.48998,0.87696,0,0.000736625,0.000736625,0.000736625
71,2036.22,0.5957,0.72538,0.47602,0.88133,0,0.88743,0.97192,0.97129,0.807,0.88118,0.96507,0.95993,0.75208,0.62823,0.70796,0.48385,0.88017,0,0.000729725,0.000729725,0.000729725
72,2060.32,0.58793,0.79282,0.46935,0.86372,0,0.88279,0.97945,0.97054,0.8041,0.87661,0.9726,0.95963,0.75418,0.62447,0.74522,0.47454,0.8826,0,0.00072277,0.00072277,0.00072277
73,2084.28,0.5918,0.76164,0.47438,0.8839,0,0.90414,0.96903,0.96803,0.80419,0.90414,0.96903,0.96803,0.74671,0.6269,0.77063,0.47568,0.88596,0,0.000715761,0.000715761,0.000715761
74,2108.29,0.60032,0.79148,0.46808,0.87138,0,0.91012,0.97094,0.9615,0.79349,0.91012,0.97094,0.9615,0.74104,0.64259,0.75774,0.47728,0.89227,0,0.0007087,0.0007087,0.0007087
75,2132.01,0.57047,0.70198,0.46574,0.86677,0,0.91017,0.97162,0.9553,0.79008,0.89735,0.95805,0.94254,0.7353,0.63632,0.74016,0.47305,0.8908,0,0.000701588,0.000701588,0.000701588
76,2156.67,0.57437,0.69683,0.46167,0.86432,0,0.89691,0.9726,0.94644,0.78891,0.88428,0.9589,0.93078,0.7297,0.63311,0.74856,0.47505,0.8886,0,0.000694428,0.000694428,0.000694428
77,2180.77,0.53725,0.65855,0.44121,0.85935,0,0.88754,0.97945,0.94623,0.78545,0.87509,0.96575,0.92689,0.72481,0.64118,0.76863,0.47962,0.88511,0,0.000687222,0.000687222,0.000687222
78,2204.24,0.55078,0.70875,0.43707,0.85909,0,0.89362,0.97813,0.94783,0.78865,0.88111,0.96443,0.92503,0.71911,0.64357,0.79462,0.48013,0.88493,0,0.00067997,0.00067997,0.00067997
79,2227.54,0.52132,0.70386,0.4178,0.8503,0,0.88855,0.98291,0.94935,0.78763,0.87616,0.96921,0.9289,0.71302,0.64342,0.80391,0.479,0.88611,0,0.000672675,0.000672675,0.000672675
80,2251.2,0.56113,0.66603,0.43544,0.85824,0,0.87861,0.97945,0.95384,0.79654,0.90286,0.93836,0.93517,0.71215,0.64196,0.83262,0.468,0.89144,0,0.000665339,0.000665339,0.000665339
81,2274.64,0.53015,0.6574,0.42541,0.85489,0,0.8961,0.96575,0.95604,0.79726,0.88789,0.95205,0.93924,0.72355,0.6343,0.82213,0.46993,0.88365,0,0.000657963,0.000657963,0.000657963
82,2298.65,0.53522,0.70281,0.43909,0.86211,0,0.90655,0.96575,0.95768,0.80083,0.90231,0.94893,0.94154,0.73944,0.63454,0.8034,0.46939,0.87881,0,0.00065055,0.00065055,0.00065055
83,2322.2,0.55462,0.72082,0.43824,0.87397,0,0.90572,0.9726,0.96073,0.79045,0.89277,0.9589,0.94977,0.7471,0.64712,0.78491,0.46592,0.88622,0,0.000643101,0.000643101,0.000643101
84,2345.69,0.53182,0.70642,0.4288,0.86495,0,0.92056,0.94521,0.96,0.78482,0.91388,0.93836,0.95163,0.74283,0.64372,0.74278,0.468,0.89195,0,0.000635617,0.000635617,0.000635617
85,2369.09,0.55075,0.71611,0.44278,0.86324,0,0.90606,0.96575,0.9594,0.78955,0.89939,0.9589,0.9487,0.75225,0.6414,0.72175,0.46685,0.89506,0,0.000628101,0.000628101,0.000628101
