epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,762.946,1.15562,0.69825,0.92269,0.99643,0.98529,0.9917,0.71008,1.34907,0.68249,1.00797,0.000353167,0.000353167,0.000353167
46,778.996,1.18857,0.70061,0.95198,1,1,0.995,0.68281,1.22496,0.69447,0.9595,0.000347214,0.000347214,0.000347214
47,795.131,1.13897,0.67367,0.92923,1,1,0.995,0.71914,1.23815,0.70443,0.97827,0.000341196,0.000341196,0.000341196
48,811.358,1.11899,0.69636,0.92277,1,1,0.995,0.71546,1.27183,0.69952,0.99077,0.000335117,0.000335117,0.000335117
49,827.452,1.16014,0.67544,0.92938,1,1,0.995,0.70309,1.2903,0.73061,0.97809,0.000328982,0.000328982,0.000328982
50,843.58,1.13825,0.68049,0.91346,1,1,0.995,0.72209,1.19437,0.72872,0.959,0.000322794,0.000322794,0.000322794
51,861.776,1.08993,0.67304,0.92302,1,1,0.995,0.72951,1.23567,0.69096,0.97333,0.000316558,0.000316558,0.000316558
52,879.883,1.10284,0.67076,0.91413,1,1,0.995,0.73173,1.16639,0.63019,0.95074,0.000310278,0.000310278,0.000310278
53,897.77,1.10914,0.67056,0.91033,1,1,0.995,0.75616,1.08067,0.60261,0.92318,0.000303958,0.000303958,0.000303958
54,915.853,1.13082,0.65115,0.90024,1,1,0.995,0.75969,1.17073,0.65373,0.96092,0.000297603,0.000297603,0.000297603
55,933.915,1.1048,0.68893,0.93372,1,1,0.995,0.73489,1.18251,0.6544,0.95954,0.000291218,0.000291218,0.000291218
56,951.971,1.08178,0.64915,0.91091,1,1,0.995,0.7087,1.33454,0.69833,0.99168,0.000284805,0.000284805,0.000284805
57,970,1.09676,0.65239,0.91677,1,1,0.995,0.73875,1.30876,0.66131,0.98474,0.000278371,0.000278371,0.000278371
58,988.128,1.05933,0.63703,0.90534,1,1,0.995,0.74062,1.36657,0.67715,0.98631,0.000271919,0.000271919,0.000271919
59,1006.32,1.10725,0.64472,0.91713,1,1,0.995,0.7558,1.24203,0.64324,0.96992,0.000265453,0.000265453,0.000265453
60,1024.41,1.06043,0.61674,0.90063,1,1,0.995,0.76709,1.18188,0.61569,0.95391,0.000258979,0.000258979,0.000258979
61,1042.71,1.09019,0.63681,0.90252,1,1,0.995,0.76372,1.19998,0.664,0.97299,0.0002525,0.0002525,0.0002525
62,1060.85,1.02522,0.61984,0.89451,1,1,0.995,0.75742,1.20714,0.64523,0.96243,0.000246021,0.000246021,0.000246021
63,1078.97,1.03782,0.62039,0.89923,1,1,0.995,0.75736,1.21281,0.66159,0.95813,0.000239547,0.000239547,0.000239547
64,1097.67,1.0445,0.62845,0.89562,1,1,0.995,0.72952,1.2431,0.66398,0.97276,0.000233081,0.000233081,0.000233081
65,1115.7,1.05773,0.62964,0.91019,1,1,0.995,0.73189,1.30061,0.66287,0.99834,0.000226629,0.000226629,0.000226629
66,1134.12,1.01294,0.62118,0.89818,1,1,0.995,0.73034,1.26099,0.62435,0.9747,0.000220195,0.000220195,0.000220195
67,1153.37,1.02372,0.60784,0.89286,1,1,0.995,0.75187,1.19029,0.59511,0.95964,0.000213782,0.000213782,0.000213782
68,1171.79,1.03168,0.60916,0.909,1,1,0.995,0.77552,1.22197,0.61404,0.95901,0.000207397,0.000207397,0.000207397
69,1190.15,1.01985,0.61157,0.88827,1,1,0.995,0.76289,1.18533,0.59761,0.94254,0.000201042,0.000201042,0.000201042
70,1208.61,1.05561,0.61806,0.90368,1,1,0.995,0.75648,1.21504,0.60299,0.94795,0.000194722,0.000194722,0.000194722
71,1227,1.0196,0.62236,0.89655,1,1,0.995,0.74885,1.12851,0.62722,0.93239,0.000188442,0.000188442,0.000188442
72,1245.35,1.04168,0.60373,0.90516,1,1,0.995,0.75109,1.15013,0.60517,0.93527,0.000182206,0.000182206,0.000182206
73,1263.89,1.01353,0.59568,0.90162,1,1,0.995,0.76307,1.15788,0.62404,0.94419,0.000176018,0.000176018,0.000176018
74,1282.4,0.98575,0.59032,0.90723,1,1,0.995,0.76214,1.1615,0.60135,0.94658,0.000169883,0.000169883,0.000169883
75,1300.78,0.98118,0.59331,0.88482,1,1,0.995,0.78121,1.13047,0.61021,0.93827,0.000163804,0.000163804,0.000163804
76,1319.06,1.00892,0.59257,0.88557,1,1,0.995,0.7486,1.25312,0.61174,0.95684,0.000157786,0.000157786,0.000157786
77,1337.61,1.02464,0.59978,0.89879,1,1,0.995,0.76113,1.1491,0.59179,0.93034,0.000151833,0.000151833,0.000151833
78,1355.99,1.03694,0.61105,0.9061,1,1,0.995,0.77301,1.16382,0.59055,0.94243,0.000145949,0.000145949,0.000145949
79,1374.42,1.01446,0.59519,0.89104,1,1,0.995,0.7541,1.14888,0.58068,0.93123,0.000140137,0.000140137,0.000140137
80,1393.4,1.00591,0.59635,0.88384,1,1,0.995,0.76565,1.12246,0.56218,0.91729,0.000134403,0.000134403,0.000134403
81,1412.44,0.97585,0.58953,0.88282,1,1,0.995,0.77433,1.19914,0.59373,0.94255,0.00012875,0.00012875,0.00012875
82,1430.91,0.97167,0.59223,0.88074,1,1,0.995,0.76821,1.28936,0.61489,0.95941,0.000123182,0.000123182,0.000123182
83,1449.85,1.00145,0.571,0.89423,1,1,0.995,0.7702,1.10687,0.55363,0.92284,0.000117702,0.000117702,0.000117702
84,1468.44,0.90999,0.54346,0.86971,1,1,0.995,0.76331,1.14404,0.57241,0.93422,0.000112314,0.000112314,0.000112314
85,1486.91,0.95638,0.57705,0.88335,1,1,0.995,0.7543,1.26561,0.57571,0.96874,0.000107023,0.000107023,0.000107023
86,1505.54,0.97232,0.56638,0.87522,1,1,0.995,0.77728,1.19834,0.5851,0.94991,0.000101832,0.000101832,0.000101832
87,1524.09,0.95824,0.55707,0.88602,1,1,0.995,0.77737,1.22931,0.57791,0.95428,9.67432e-05,9.67432e-05,9.67432e-05
88,1543.04,0.95129,0.56242,0.88385,1,1,0.995,0.77045,1.22377,0.58785,0.94746,9.17616e-05,9.17616e-05,9.17616e-05
89,1562,0.95082,0.56527,0.87672,1,1,0.995,0.7715,1.18262,0.57624,0.93717,8.68902e-05,8.68902e-05,8.68902e-05
90,1580.75,0.95574,0.56517,0.87928,1,1,0.995,0.7711,1.2217,0.59747,0.94476,8.21322e-05,8.21322e-05,8.21322e-05
91,1599.22,0.9656,0.5833,0.87637,1,1,0.995,0.76929,1.23784,0.59523,0.94666,7.74911e-05,7.74911e-05,7.74911e-05
92,1618.16,0.8967,0.54089,0.86967,1,1,0.995,0.76254,1.19344,0.5847,0.93539,7.29698e-05,7.29698e-05,7.29698e-05
93,1637.32,0.95918,0.55409,0.88302,1,1,0.995,0.77054,1.19858,0.57443,0.93562,6.85717e-05,6.85717e-05,6.85717e-05
94,1656.11,0.95545,0.55708,0.87981,1,1,0.995,0.77718,1.24147,0.57329,0.94874,6.42995e-05,6.42995e-05,6.42995e-05
95,1674.59,0.92752,0.56009,0.88026,1,1,0.995,0.76627,1.25339,0.57759,0.95063,6.01564e-05,6.01564e-05,6.01564e-05
96,1694.21,0.91469,0.54401,0.87817,1,1,0.995,0.77076,1.24018,0.57495,0.94254,5.6145e-05,5.6145e-05,5.6145e-05
97,1715.89,0.91295,0.53729,0.87291,1,1,0.995,0.7752,1.18972,0.57044,0.93112,5.22683e-05,5.22683e-05,5.22683e-05
98,1734.4,0.92331,0.54686,0.87794,1,1,0.995,0.77962,1.14457,0.55169,0.92743,4.85288e-05,4.85288e-05,4.85288e-05
99,1750.38,0.9076,0.54106,0.87973,1,1,0.995,0.77862,1.14849,0.55009,0.93205,4.4929e-05,4.4929e-05,4.4929e-05
100,1765.98,0.91912,0.54448,0.87811,1,1,0.995,0.77377,1.12153,0.54244,0.93005,4.14716e-05,4.14716e-05,4.14716e-05
101,1781.42,0.94771,0.55151,0.88221,1,1,0.995,0.7783,1.14852,0.54252,0.93211,3.81587e-05,3.81587e-05,3.81587e-05
102,1797.09,0.89808,0.52749,0.8735,1,1,0.995,0.78513,1.1646,0.54058,0.93517,3.49928e-05,3.49928e-05,3.49928e-05
103,1814.53,0.88937,0.54496,0.8658,1,1,0.995,0.78164,1.16659,0.55229,0.93581,3.19759e-05,3.19759e-05,3.19759e-05
104,1831.22,0.89507,0.53692,0.88132,1,1,0.995,0.77794,1.17323,0.56085,0.937,2.91101e-05,2.91101e-05,2.91101e-05
105,1847.53,0.89833,0.53506,0.87331,1,1,0.995,0.7771,1.1722,0.55711,0.93729,2.63975e-05,2.63975e-05,2.63975e-05
106,1865.4,0.88527,0.51984,0.8722,1,1,0.995,0.77548,1.16334,0.55313,0.93488,2.38398e-05,2.38398e-05,2.38398e-05
107,1884.26,0.91304,0.53861,0.87923,1,1,0.995,0.78175,1.16148,0.55986,0.93347,2.14388e-05,2.14388e-05,2.14388e-05
108,1901.74,0.91789,0.53969,0.87531,1,1,0.995,0.7809,1.16012,0.55384,0.9323,1.91962e-05,1.91962e-05,1.91962e-05
109,1917.89,0.90886,0.539,0.86175,1,1,0.995,0.78456,1.15192,0.55561,0.93038,1.71135e-05,1.71135e-05,1.71135e-05
110,1933.94,0.8914,0.52698,0.87511,1,1,0.995,0.78694,1.16096,0.5593,0.93163,1.51921e-05,1.51921e-05,1.51921e-05
111,1949.53,0.86777,0.59288,0.86441,1,1,0.995,0.77921,1.17535,0.56279,0.93277,1.34334e-05,1.34334e-05,1.34334e-05
112,1964.78,0.87593,0.59138,0.84897,1,1,0.995,0.77738,1.17714,0.57281,0.93035,1.18384e-05,1.18384e-05,1.18384e-05
113,1980.73,0.83747,0.5448,0.85197,1,1,0.995,0.77141,1.18669,0.58523,0.93005,1.04085e-05,1.04085e-05,1.04085e-05
114,1997.19,0.81226,0.52935,0.83824,1,1,0.995,0.77255,1.19709,0.59239,0.93109,9.14441e-06,9.14441e-06,9.14441e-06
115,2012.2,0.82345,0.53623,0.84078,1,1,0.995,0.76973,1.2016,0.59524,0.93116,8.04714e-06,8.04714e-06,8.04714e-06
116,2027.08,0.8376,0.5281,0.85604,1,1,0.995,0.76545,1.20485,0.59224,0.93148,7.1174e-06,7.1174e-06,7.1174e-06
117,2041.95,0.80757,0.49936,0.84062,1,1,0.995,0.75972,1.20725,0.58945,0.93223,6.35583e-06,6.35583e-06,6.35583e-06
118,2056.85,0.84589,0.51629,0.8368,1,1,0.995,0.7576,1.20998,0.58844,0.9325,5.76296e-06,5.76296e-06,5.76296e-06
119,2071.58,0.81248,0.50598,0.83239,1,1,0.995,0.75649,1.21148,0.58483,0.93301,5.33919e-06,5.33919e-06,5.33919e-06
120,2086.39,0.81174,0.51172,0.83771,1,1,0.995,0.76264,1.21706,0.58075,0.93466,5.08481e-06,5.08481e-06,5.08481e-06
