epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6012,4.18794,5.02442,2.7873,0.04412,0.04412,0.02359,0.00311,3.32237,3.82831,2.47104,4e-05,4e-05,0.09204
2,44.8192,3.40167,2.92331,2.40345,0.16176,0.16176,0.09752,0.02356,2.7095,2.97767,1.99846,8.49977e-05,8.49977e-05,0.083085
3,65.1011,3.16856,2.39784,2.33893,0.02703,0.01471,0.01393,0.00557,3.19289,4.43744,2.02742,0.000129986,0.000129986,0.07413
4,85.4968,3.01086,1.8437,2.22468,1,0.02941,0.5147,0.07759,3.03645,5.03652,2.06612,0.000174957,0.000174957,0.065175
5,105.815,2.80519,1.68717,2.08329,0.86885,0.77941,0.85076,0.25685,2.80482,3.53415,1.96064,0.000219904,0.000219904,0.0562199
